size,room,year,floor,top_floor,price
57,3,1979,5,5,15400000
67,3,1986,9,9,16300000
62,3,1974,4,5,19100000
89,3,1973,3,5,25500000
50,2,1980,3,5,22000000
50,2,1984,2,5,16500000
85,2,2012,5,15,28500000
45,1,1949,1,3,14500000
56,2,1956,2,4,17000000
44,2,1965,3,4,13800000
30,1,1984,4,4,9300000
65,3,2016,3,5,26000000
185,4,2009,11,16,123000000
200,3,2014,1,9,100000000
41,2,1977,5,5,14800000
40,1,1986,5,9,11800000
1983,2,1983,5,5,16700000
70,3,1993,3,9,29000000
55,2,1982,2,5,24600000
201,4,2007,11,18,113000000
87,3,2007,15,18,26800000
29,1,1963,3,4,12300000
73,2,2007,3,20,23500000
150,3,2011,4,17,88000000
36,1,1963,3,4,14000000
72,3,1958,3,3,23000000
57,3,1979,5,5,15500000
33,1,1981,5,5,11000000
160,4,1981,4,5,54500000
44,2,1974,1,5,12800000
21,1,1976,3,4,12500000
85,4,1986,2,5,32000000
58,3,1992,5,5,16000000
59,3,1972,5,5,16500000
97,3,1986,1,5,40000000
58,3,1963,3,4,16300000
88,3,2008,6,9,25300000
60,2,1960,3,4,24000000
52,2,1975,4,5,23000000
71,3,1973,3,9,32000000
34,1,1978,3,5,11900000
62,3,1976,4,5,29000000
59,3,1981,5,5,16000000
31,1,1963,2,4,14000000
98,3,2012,7,18,29000000
148,4,2014,10,21,50000000
76,4,1984,11,12,22500000
83,3,1980,2,5,43500000
70,3,1990,4,5,20300000
38,1,2017,6,10,14000000
60,3,1969,1,4,24000000
92,3,2005,8,22,61684550
60,1,2006,12,21,16000000
89,3,2016,5,15,41000000
78,2,2006,10,12,32000000
27,1,2016,9,13,13000000
38,1,1975,1,5,14500000
49,2,1978,5,5,16000000
23,1,1977,4,5,8000000
62,3,1974,5,5,17500000
63,3,1979,4,5,19300000
14,1,1980,2,4,4500000
80,3,1983,1,9,29000000
62,3,1980,1,5,22000000
86,2,2015,3,14,20699000
44,2,1970,2,4,15000000
42,2,1979,2,5,13300000
78,2,2014,3,14,34500000
96,2,2011,5,9,27490000
43,2,1978,4,5,15800000
154,4,2014,6,7,89800000
60,3,1980,4,5,20000000
36,1,2017,3,9,13800000
60,3,1974,1,5,19200000
56,2,1986,5,5,18000000
107,3,2014,12,12,33000000
83,3,2006,4,9,23000000
60,3,1984,2,5,17500000
42,2,1975,3,5,17000000
43,1,1978,2,5,13300000
42,2,1978,2,5,13600000
12,1,1984,4,5,4100000
35,1,1988,6,6,12200000
60,1,2007,12,18,16000000
111,4,2012,4,18,47000000
48,2,1987,3,5,23000000
105,3,2009,5,12,37300000
30,1,1964,4,4,11700000
78,4,1986,5,5,21900000
73,3,1974,5,5,23800000
60,2,1960,4,4,28710000
66,2,1976,1,5,25500000
32,1,1978,3,5,17000000
14,1,1981,1,1,3900000
65,3,1993,2,5,25000000
57,3,1987,2,5,25000000
31,1,1974,3,4,12500000
44,2,1980,4,5,20000000
121,4,2015,6,14,80000000
33,2,1953,3,5,12000000
39,1,1988,2,5,15500000
20,1,1980,2,5,7500000
54,2,1980,5,5,19500000
52,2,1982,1,5,17800000
55,2,1984,2,5,16800000
43,2,1980,2,5,14000000
54,2,1979,1,5,20500000
55,2,1980,2,5,18800000
51,2,1960,2,5,20000000
23,1,1980,3,5,4800000
52,2,1979,4,7,18350000
52,2,1987,5,9,19500000
31,1,1978,1,5,11000000
32,1,1970,4,4,12400000
56,2,1983,6,9,17850000
70,3,1975,1,4,24300000
57,2,1986,4,5,25300000
60,3,1975,4,4,25000000
57,2,1986,4,5,25300000
70,3,1975,1,4,24300000
72,4,1973,4,5,21800000
43,2,1974,5,5,12500000
42,2,1985,1,5,15300000
53,2,1982,4,5,18500000
44,2,1973,3,5,15300000
45,2,1980,3,5,17800000
52,2,1988,4,9,18200000
30,1,1968,4,4,10300000
54,2,1983,5,9,15800000
54,2,1980,4,7,18800000
130,5,1991,3,5,72000000
55,2,1949,1,2,18000000
63,2,1988,5,5,20000000
57,2,1989,6,9,18000000
52,2,1985,6,9,18350000
48,2,1987,3,5,17800000
51,2,1983,5,5,14850000
51,2,1981,5,5,16800000
43,2,1992,4,5,15500000
53,2,1982,1,5,14350000
33,1,1978,1,5,11000000
51,3,1974,4,4,15700000
58,3,1972,1,5,16000000
56,2,1970,5,5,18350000
49,2,1978,5,5,16000000
58,3,1974,5,5,21500000
85,3,1972,4,5,34000000
56,3,1985,1,5,17000000
31,1,1979,4,5,9900000
45,1,2006,1,9,16000000
56,3,1982,5,5,17000000
59,3,1975,5,5,18000000
40,1,1988,2,5,15500000
43,2,1992,4,5,15500000
56,3,1970,4,5,16100000
10,1,1981,1,4,4300000
60,3,1972,1,4,17200000
56,3,1970,4,5,16100000
62,3,1980,5,5,16400000
49,2,1981,4,5,16000000
5,3,1953,1,2,13200000
60,3,1975,5,5,15300000
30,1,1975,1,5,10500000
59,3,1971,2,4,17500000
31,1,1978,1,5,10000000
30,1,1972,2,4,11000000
66,3,1983,4,5,17500000
28,1,1974,4,4,8500000
64,3,1976,2,5,19900000
43,2,1992,4,5,15500000
30,1,1985,1,5,10700000
52,2,1990,5,5,18300000
33,1,1972,2,5,11500000
52,2,1984,3,5,17500000
51,3,1985,5,5,14000000
31,1,1974,2,5,10500000
59,3,1978,2,5,20544000
57,3,1968,2,5,17500000
31,1,1979,4,5,9900000
30,1,1975,1,5,10500000
58,3,1980,1,4,15800000
31,1,1978,1,5,10000000
31,1,1979,3,5,9800000
58,3,1982,5,5,16500000
30,1,1985,1,5,10700000
62,3,1974,5,5,17500000
31,1,1978,5,5,10000000
57,3,1979,2,50,23112000
58,3,1973,3,5,17013000
33,1,1971,5,5,10500000
60,3,1975,2,5,18500000
6,3,1980,4,5,21507000
61,3,1978,5,5,18500000
59,3,1980,1,5,17500000
30,1,1968,4,4,10500000
52,2,1994,2,4,16000000
50,2,1960,3,3,19300000
43,2,1962,3,4,18000000
48,2,1994,2,5,16500000
35,1,1985,9,9,10800000
40,1,1987,7,9,12000000
45,1,1989,8,9,12000000
42,1,2000,11,12,10600000
33,1,1995,1,5,10800000
54,2,1984,5,5,15500000
41,1,1986,3,9,12800000
44,1,1994,5,5,12500000
50,1,1992,6,7,15500000
70,3,1982,4,5,30500000
33,1,1979,4,5,10500000
72,3,1978,3,5,19000000
68,3,1994,1,5,18000000
90,3,1983,3,5,25000000
445,6,2005,21,22,320000000
70,3,1985,8,9,20000000
69,3,1985,5,9,24500000
70,3,1996,3,9,19000000
72,3,1978,3,5,19000000
63,2,1977,7,7,27700000
48,2,1968,5,5,22500000
54,2,1956,2,3,25300000
155,4,2007,10,12,70000000
51,2,1959,3,3,16500000
58,2,1974,3,5,44500000
55,2,1950,2,5,17850000
52,2,1985,1,5,18000000
50,2,1992,4,9,21350000
50,2,1985,5,5,18000000
51,2,1989,3,5,17350000
41,2,1965,2,4,19000000
59,2,1979,2,5,18000000
62,3,1983,3,5,17350000
38,1,2001,8,13,10800000
84,4,1982,1,5,25500000
40,1,1988,2,5,15500000
42,1,1991,4,9,11900000
57,2,2012,13,21,20500000
59,3,1971,2,4,16300000
70,3,1995,5,9,24500000
65,3,1984,1,5,17000000
43,2,1979,4,5,15300000
43,2,1978,4,5,15000000
45,2,1974,3,5,15300000
33,1,1969,2,5,10300000
50,1,1992,6,7,15500000
45,1,1989,8,9,12000000
51,2,1953,2,3,17000000
3,1,1980,5,5,7200000
32,1,1982,9,9,11000000
40,1,1986,6,9,12300000
40,1,1988,7,9,13500000
40,1,1991,6,12,12800000
35,1,1985,9,9,10800000
42,1,2000,11,12,10600000
33,1,1995,1,5,10800000
41,1,1986,3,9,12800000
32,1,1978,5,5,11000000
40,1,1992,2,9,11000000
53,2,1982,2,5,13000000
44,1,1994,5,5,12500000
62,3,1974,4,5,20500000
67,2,1979,4,5,62000000
81,4,1977,2,5,29000000
78,3,1985,3,4,19500000
43,2,1992,4,5,15500000
141,3,2015,3,15,132000000
51,2,1987,5,5,16000000
54,2,1984,5,5,15500000
65,3,1974,1,5,18000000
45,2,1985,2,5,22960000
38,2,1963,1,2,10000000
33,1,1979,4,5,9900000
82,2,2016,17,21,35000000
48,2,1994,2,5,16500000
36,1,1970,1,3,16000000
57,3,1953,1,2,14000000
38,2,1963,1,2,10000000
22,1,1988,2,5,5800000
70,3,1987,8,9,28400000
54,2,1985,3,9,18000000
51,2,1959,3,3,16500000
62,1,1976,4,5,20000000
34,1,1981,5,5,13500000
60,2,1989,6,9,18000000
131,3,2014,9,18,111000000
97,3,2014,17,21,35000000
53,1,2012,13,15,15000000
52,2,1991,4,9,25000000
36,2,1976,5,5,11000000
55,2,1973,2,5,18200000
43,2,1983,4,5,14000000
45,2,1963,1,4,14850000
58,1,2009,8,9,17500000
40,2,1965,3,4,19500000
38,1,1975,1,5,14500000
43,2,1973,4,5,15350000
45,2,1971,3,4,16000000
40,1,1984,4,5,14500000
34,1,1991,2,5,15500000
45,2,1975,3,5,16500000
43,2,1978,1,5,14000000
63,3,1980,3,5,20000000
58,3,1968,4,5,16850000
65,3,1975,4,5,19350000
65,3,1978,2,5,20000000
58,3,1974,2,4,19500000
60,3,1978,2,5,17850000
66,3,1973,4,5,20250000
70,3,1961,3,4,24350000
96,3,1976,5,7,37500000
96,4,1968,4,6,38500000
151,3,2011,2,9,41500000
74,3,1986,4,4,24000000
85,4,1977,2,5,32000000
75,3,1987,5,9,26800000
86,3,1973,2,5,37300000
70,3,1994,2,12,26000000
69,3,1985,9,9,25400000
113,3,2008,8,9,29000000
85,4,1984,5,5,25500000
65,3,1991,3,9,25350000
28,1,1974,4,4,8500000
33,1,1972,2,5,11500000
31,1,1974,2,5,10500000
30,1,1975,1,5,10500000
31,1,1978,1,5,10000000
32,1,1974,2,5,11500000
30,1,1985,1,5,10700000
33,1,1971,5,5,10500000
65,2,2016,11,16,20000000
60,2,1990,4,9,19000000
34,1,2019,4,13,12973200
117,4,2017,1,9,37075500
100,2,2006,4,12,29000000
53,2,1980,8,9,19000000
53,2,1988,5,5,23500000
30,1,1977,3,4,12800000
34,1,2017,10,13,13300000
53,2,1968,4,4,15800000
70,3,1996,6,9,25500000
70,3,1996,6,9,25500000
72,2,1986,6,6,15430000
40,1,1985,6,9,12000000
42,2,1987,2,5,18000000
93,4,1994,4,5,33000000
30,1,1975,5,5,9700000
76,2,2012,8,18,25000000
75,3,1986,2,9,24500000
58,3,1968,1,4,16000000
63,3,1962,3,4,18600000
100,3,2012,9,10,36500000
20,1,2014,4,9,8500000
56,2,1987,6,9,19800000
54,2,1975,5,5,18500000
70,3,1985,9,9,20900000
37,1,1982,5,5,7500000
33,1,1979,4,5,9900000
57,2,1987,6,9,18000000
72,4,1973,4,5,20900000
52,2,1981,5,5,16500000
73,2,2017,1,9,23952500
83,3,2017,1,9,27137500
86,3,1971,9,9,28000000
33,1,1972,2,4,11500000
48,2,1953,3,3,23000000
155,3,2005,14,16,37000000
44,2,1966,4,4,12300000
19,1,1977,2,5,5500000
83,3,2006,4,9,23000000
63,3,1978,4,5,19350000
125,3,2012,7,18,41000000
82,2,2011,10,18,25000000
49,2,1978,5,5,16000000
92,3,1937,2,3,55000000
35,1,1975,4,5,12300000
66,2,1984,9,9,26700000
64,3,2001,3,9,19200000
33,1,1984,1,5,13000000
33,1,1978,1,5,11000000
92,3,1937,2,3,55000000
63,3,1979,4,5,19300000
64,3,2001,3,9,19200000
33,1,1978,5,5,9500000
17,1,1958,1,3,4400000
38,1,1972,2,4,14800000
42,1,2014,9,20,18000000
71,3,1994,2,12,26500000
84,3,1974,4,5,33000000
44,2,1970,1,4,15000000
100,3,2017,7,10,75000000
40,2,1963,3,3,13500000
30,1,1975,4,5,13000000
42,2,1985,3,5,16000000
40,1,1986,6,9,12000000
32,1,1972,5,5,11500000
43,2,1956,3,3,14900000
52,2,1986,3,5,17000000
30,1,1967,3,4,12000000
53,2,1980,8,9,19000000
45,2,1957,1,2,12000000
52,2,1986,3,5,17000000
30,1,1967,3,4,12000000
151,3,2014,2,9,41500000
85,3,1985,4,5,31000000
70,3,1985,9,9,20900000
59,3,1971,2,4,19000000
67,3,1986,5,9,21000000
140,3,2014,4,10,40320000
52,2,1986,5,9,14500000
63,3,1979,4,5,19300000
41,2,1965,1,4,13000000
45,1,2004,3,9,14000000
24,2,1977,5,5,6200000
62,3,1980,4,5,18200000
66,3,1974,1,5,15800000
33,1,1977,4,5,12600000
54,2,1968,4,4,15500000
90,4,1961,2,3,59000000
27,1,2016,4,13,11500000
27,1,2016,13,13,12500000
28,1,2016,13,13,12500000
30,1,1982,2,5,12500000
32,1,1987,2,4,13000000
34,1,1980,2,5,11800000
33,1,1983,4,5,13000000
31,1,1978,4,4,10500000
33,1,1974,1,5,11000000
32,1,1983,4,4,11000000
32,1,1993,2,5,16300000
42,2,1975,3,5,17000000
32,1,1976,4,5,11000000
20,1,2014,4,9,8500000
30,1,1974,1,5,10500000
30,1,1979,4,5,10000000
100,4,1988,5,5,45000000
69,3,1985,5,9,25000000
13,1,1986,2,5,3950000
84,3,2008,9,10,30000000
64,3,1974,6,9,25000000
43,1,1992,5,5,13000000
87,3,2011,14,20,37900000
95,4,2014,17,21,32000000
60,3,1979,2,5,18500000
30,1,1979,3,4,11000000
300,7,2006,5,6,148500000
58,3,1970,2,4,18500000
130,4,2000,2,6,64000000
216,5,2007,20,22,150000000
34,1,2016,12,12,13000000
59,3,1978,1,4,16600000
39,1,1990,1,5,16000000
60,2,1980,2,7,21980000
47,2,1951,1,2,11200000
61,3,1974,1,5,18000000
83,4,1989,3,5,25000000
90,3,2005,2,17,52000000
33,1,1965,3,4,13500000
67,3,1970,3,4,18500000
76,4,1984,11,12,22500000
83,3,1980,2,5,43500000
30,1,1980,4,5,10800000
60,3,1972,1,4,16000000
63,3,1978,4,5,19350000
32,1,1972,5,5,12000000
53,2,1989,9,9,17850000
40,2,1962,4,4,22000000
50,2,1977,8,8,19000000
82,2,1995,9,10,21000000
52,2,1983,4,5,18000000
65,3,1980,2,5,28350000
20,1,1970,2,5,7500000
42,2,1979,2,5,15000000
172,7,1995,9,10,55000000
58,1,2009,8,9,17500000
43,2,1983,4,5,14000000
43,2,1983,4,5,14000000
420,5,2010,5,9,285000000
420,5,2010,5,9,285000000
220,5,2007,9,14,107000000
45,2,1963,1,4,14850000
40,2,1965,3,4,19500000
45,2,1975,3,5,16500000
83,4,1997,1,5,41000000
43,2,1973,4,5,15350000
45,2,1971,3,4,16000000
53,2,1983,2,5,16000000
40,1,1984,4,5,14500000
70,3,1996,6,9,25300000
83,3,1985,3,5,21648000
72,3,1996,7,9,20800000
60,2,1993,1,9,17500000
85,4,1984,5,5,25500000
53,2,1990,2,5,16355000
63,3,1978,4,5,19350000
53,2,1982,7,9,17000000
87,3,1989,5,5,40000000
43,2,1980,2,5,15350000
57,2,1986,3,9,21000000
65,3,1991,3,9,25350000
90,3,1972,1,5,36000000
56,3,1981,1,5,13800000
86,2,2013,8,15,27500000
56,2,1977,4,7,18000000
40,1,1980,9,9,13000000
40,1,1990,5,5,12000000
22,1,1980,4,5,5250000
125,4,2013,5,16,53000000
79,3,2011,16,20,33000000
46,2,1976,1,5,14500000
46,2,1965,4,4,12500000
43,2,1978,1,5,14000000
34,1,1991,2,5,15500000
40,1,1992,6,12,13500000
13,1,1987,1,5,5000000
72,3,1986,7,9,22000000
70,3,1980,6,8,28000000
56,2,1987,6,9,22000000
91,3,2011,9,11,35000000
56,2,1987,5,9,17990000
75,3,1985,2,9,23500000
58,2,1978,1,5,15550000
45,1,1982,5,6,13800000
63,3,1980,3,5,20000000
45,2,1970,2,4,14850000
44,2,1964,4,4,13000000
76,3,1989,5,9,40000000
40,2,1963,4,4,15350000
43,2,1978,4,5,14500000
60,2,1987,6,9,17300000
50,2,1963,2,3,14800000
65,3,1978,2,5,20000000
40,2,1966,3,4,12500000
43,2,1980,2,5,15350000
45,2,1966,4,4,13350000
43,2,1965,1,4,14650000
45,2,1962,4,4,13400000
45,2,1981,5,5,14000000
43,2,1974,5,5,12500000
59,3,1964,1,4,17850000
38,2,1962,2,4,11850000
62,3,1983,3,5,24000000
43,2,1975,4,4,14350000
55,2,1984,2,5,16650000
58,2,1977,8,8,30000000
59,3,1964,1,4,17850000
63,3,1980,3,5,20000000
63,3,1973,1,4,16850000
65,3,1978,3,5,20350000
66,3,1973,4,5,20250000
58,3,1970,2,4,18350000
58,3,1969,1,4,16000000
85,4,1984,5,5,25500000
63,3,1980,1,5,19350000
96,3,1976,5,7,37500000
58,3,1970,2,4,18350000
65,3,1999,4,6,22960000
80,3,1983,5,9,27350000
60,3,1980,4,5,18850000
70,3,1993,2,9,28000000
58,3,1977,4,5,18500000
63,3,1962,3,4,18600000
57,2,2015,5,21,18800000
58,3,1974,3,5,19350000
46,2,1980,2,5,13999999
58,3,1968,4,5,16850000
40,2,1963,2,4,14000000
62,3,1983,3,5,24000000
65,3,1979,4,5,19500000
66,3,1973,4,5,20250000
70,2,2011,7,18,26000000
61,2,2011,16,18,20500000
45,2,1980,3,5,17500000
70,3,1985,8,9,23500000
59,3,1975,5,5,18000000
65,3,1973,4,5,20000000
31,1,1963,2,4,11000000
50,2,1989,3,5,17800000
52,2,1980,1,5,17000000
90,2,2007,3,9,39990000
65,3,1977,1,5,19000000
72,2,1986,6,6,14800000
58,3,1974,2,4,19500000
61,3,1974,1,5,18600000
54,2,1968,3,4,23500000
70,3,1982,8,9,24000002
68,3,1986,8,9,25000002
53,2,1966,4,4,17500000
60,3,1971,4,4,19000000
35,1,1962,1,4,11000000
80,4,1986,9,9,30000000
42,2,1977,2,5,13500000
45,2,1977,4,5,15800000
75,2,2012,13,18,24200000
38,1,1978,4,5,17000000
73,3,1979,1,9,25000000
42,2,1972,3,5,14800000
50,2,1965,2,3,23000000
42,1,1986,1,5,17300000
62,3,1978,1,5,18500000
60,3,1980,4,5,18850000
72,2,1986,6,6,14800000
43,2,1977,1,5,14800000
60,3,1979,1,5,18000000
35,1,1990,5,5,12000000
58,3,1977,4,5,18500000
43,2,1980,5,5,13100000
65,3,1952,1,2,15850000
126,3,2012,7,18,42000000
58,3,1974,3,5,19350000
45,2,1980,4,5,13800000
63,3,1980,3,5,20000000
136,3,2004,8,20,38500000
58,3,1968,4,5,16850000
59,3,1978,2,5,17350000
56,3,1974,5,5,15350000
52,2,1984,3,5,17500000
65,3,1975,4,5,20300000
65,3,1978,2,5,20000000
222,4,2002,5,9,164000000
62,3,1968,4,4,17350000
62,3,1973,2,5,19000000
40,1,2000,5,9,14500000
45,2,1980,4,5,16850000
55,3,1979,5,5,14900000
74,4,1971,5,5,28000000
30,1,1972,2,4,11000000
60,3,1980,4,5,19680000
60,3,1978,2,5,17850000
45,2,1970,2,4,14850000
57,3,1972,2,5,17350000
28,1,1974,4,4,8500000
60,3,1973,1,5,17850000
62,3,1974,5,5,17500000
65,3,1978,2,5,20000000
33,1,1972,2,5,11500000
77,3,1986,7,9,23000000
61,3,1972,3,4,19300000
61,3,1978,5,5,17850000
66,3,1973,4,5,20250000
64,3,1982,4,5,18300000
40,2,1963,4,4,15350000
56,1,2015,11,15,13500000
43,2,1975,5,5,14300000
61,3,1978,5,5,17850000
30,1,1968,4,4,10500000
90,4,1966,3,4,31000000
60,3,1978,2,5,17850000
77,3,1976,3,5,28300000
57,3,1972,2,5,17350000
47,1,1974,6,7,19000000
60,3,1975,5,5,17500000
52,2,1982,3,5,17000000
56,2,1987,6,9,18000000
33,1,1980,2,5,12500000
45,2,1974,5,5,13800000
60,3,1973,1,5,17850000
116,3,2012,4,18,43500000
53,2,1981,5,5,20800000
65,3,1978,2,5,20000000
62,3,1973,2,5,19000000
58,3,1974,2,4,19500000
62,3,1974,5,5,17500000
61,3,1972,3,4,19300000
65,3,1979,4,5,19500000
61,3,1978,5,5,17850000
45,2,1970,2,4,14500000
43,2,1976,3,5,15300000
40,2,1966,3,4,12500000
57,3,1973,2,4,19500000
45,2,1976,1,5,14800000
74,4,1976,4,5,25000000
33,1,1968,2,4,10000000
65,3,1978,3,5,20350000
60,3,1973,1,5,17800000
43,2,1980,2,5,15350000
45,2,1966,4,4,13350000
52,2,1986,6,8,17300000
60,3,1978,2,5,17850000
43,2,1965,1,4,14650000
58,3,1975,1,5,16350000
56,3,1974,5,5,15350000
63,3,1972,1,4,17350000
55,3,1971,1,4,16000000
65,3,1975,4,5,20300000
56,3,1975,5,5,15000000
56,2,1980,8,9,18000000
57,2,1970,2,5,18800000
32,1,1985,2,9,13000000
61,2,1973,5,5,29350000
42,1,1975,2,7,15500000
68,3,1985,9,9,16000000
55,3,1971,2,4,18350000
53,2,1983,5,5,14850000
38,1,1981,5,5,12900000
65,3,1978,1,5,20000000
40,1,1986,9,9,11500000
63,3,1980,3,5,20000000
52,2,1980,4,5,14500000
58,3,1969,1,4,16000000
60,3,1984,2,5,17500000
36,1,1984,4,5,14000000
62,3,1968,4,4,17350000
35,1,1966,3,4,11800000
52,2,1981,4,5,18300000
100,3,2014,12,18,30500000
63,3,1980,1,5,19350000
59,3,1970,4,4,17350000
53,2,1971,2,5,17000000
61,3,1980,4,5,16350000
60,3,1980,4,5,16350000
58,3,1970,2,4,18350000
59,3,1978,2,5,17350000
68,3,1991,5,5,29610000
60,3,1980,4,5,18850000
75,3,1987,5,9,26300000
55,3,1979,5,5,14900000
58,3,1977,4,5,18500000
45,2,1975,4,5,15300000
65,3,1952,1,2,15850000
58,3,1970,1,4,15850000
41,1,1981,1,13,12700000
40,1,1986,5,9,11800000
36,1,1978,5,5,13500000
40,1,1986,9,9,11500000
36,1,1985,9,9,11000000
40,1,1990,6,9,12400000
41,1,1986,1,9,14000000
41,1,1986,9,9,14000000
58,3,1968,4,5,16850000
58,3,1980,5,5,15850000
56,3,1974,5,5,15350000
60,3,1980,4,5,19680000
57,3,1972,2,5,17350000
78,4,1986,5,5,20000000
71,3,1968,2,4,26568000
63,2,1970,5,5,20000000
67,3,1977,4,5,25000000
60,3,1970,3,5,22000000
60,3,1973,1,5,17850000
54,2,1983,5,9,14300000
62,3,1973,2,5,19000000
79,4,1975,3,5,32000000
62,3,1974,5,5,17500000
59,2,1980,8,9,18000000
58,3,1974,2,4,19500000
61,3,1972,3,4,19300000
66,3,1973,4,5,20250000
66,2,1989,7,8,25300000
56,3,1981,1,5,13850000
35,1,1987,4,5,12500000
42,2,1977,3,5,13000000
78,3,1978,6,9,35000000
61,3,1970,4,4,16600000
50,2,1974,2,5,23500000
56,2,1985,4,9,19500000
52,2,1985,1,5,17600000
50,2,1985,4,5,15000000
62,3,1974,5,5,17850000
58,3,1968,1,4,16350000
52,2,1985,6,9,18350000
51,2,1981,5,5,16500000
53,2,1980,5,5,18000000
50,2,1977,8,8,19000000
48,2,1987,3,5,17800000
62,3,1980,5,5,16350000
53,2,1971,2,5,17000000
5,3,1953,1,2,13200000
52,2,1981,5,5,17500000
52,2,1983,4,5,18000000
53,2,1982,7,9,17500000
52,2,1981,4,5,18300000
65,3,1980,2,5,28350000
45,2,1957,1,2,17000000
53,2,1985,2,9,19000000
41,1,1981,1,12,11800000
51,2,1981,5,5,16800000
40,1,1982,8,9,17000000
62,3,1972,3,4,19300000
82,2,1995,9,10,21000000
55,3,1979,5,5,14900000
56,3,1975,5,5,15000000
54,2,1985,3,9,17500000
49,2,1978,5,5,16000000
42,2,1979,2,5,15000000
58,3,1976,1,4,17000000
53,2,1981,4,5,18500000
45,2,1966,4,4,13300000
172,7,1995,9,10,55000000
64,2,2006,5,9,17300000
45,2,1975,4,5,15400000
15,1,1976,3,5,5000000
52,2,1982,3,5,17000000
50,2,1991,3,5,24000000
44,2,1978,4,5,15200000
43,2,1979,4,5,15800000
43,2,1980,4,5,15300000
52,2,1980,4,5,14500000
61,3,1974,5,5,15000000
59,2,1980,8,9,18000000
50,2,1979,4,5,20000000
67,3,1970,3,4,18500000
54,2,1983,5,9,14300000
53,2,1986,2,5,18300000
45,2,1973,5,5,14500000
56,2,1970,5,5,18350000
30,1,1980,4,5,10800000
98,2,2008,4,12,29500000
44,2,1977,4,5,15200000
140,4,2006,14,21,129000000
56,3,1974,5,5,15350000
152,4,2013,2,9,41000000
56,3,1939,1,3,45000000
33,1,1984,4,4,9600000
92,3,1970,1,4,26000000
43,2,1965,1,4,14800000
88,3,2007,8,20,30500000
22,1,1976,1,5,7000000
35,1,1989,4,5,10000000
73,3,1981,4,5,30000000
40,2,1963,2,4,15000000
73,3,1980,1,9,23500000
55,1,2017,6,10,24750000
50,2,1974,2,5,23500000
56,2,1987,6,9,18000000
56,2,1985,6,9,18000000
73,3,1968,3,4,21700000
35,1,1984,4,5,14000000
45,2,1957,1,2,17000000
78,4,1984,3,5,23000000
51,1,2012,2,18,15000000
120,3,2015,9,10,68400000
53,2,1986,5,5,14700000
69,3,1986,9,9,25500000
43,2,1981,5,5,13800000
45,1,2015,10,13,16400000
74,3,1984,5,5,24500000
86,2,2013,8,15,27500000
30,1,1985,2,9,13000000
43,2,1974,1,5,14300000
56,3,1981,1,5,13800000
35,1,1963,3,4,12800000
52,2,1981,4,5,18300000
43,2,1974,5,5,12500000
45,2,1964,1,4,14800000
56,2,1977,4,7,18000000
59,3,1975,5,5,16000000
31,1,1987,1,5,11000000
40,1,1980,9,9,13000000
31,1,1976,1,5,10500000
70,3,1978,3,5,30000000
70,2,1984,15,18,26000000
38,1,1985,6,9,12000000
120,3,2015,9,10,68000000
52,2,1981,5,5,17200000
76,4,1984,11,12,22500000
56,3,1981,1,5,13800000
54,2,1985,3,9,17500000
75,3,1988,8,9,29600000
51,2,1995,2,5,19300000
33,1,1973,1,4,9000000
53,2,1981,4,5,18500000
59,3,1971,2,4,19000000
33,1,1969,4,4,9500000
56,2,1977,4,7,18000000
35,1,1983,2,5,15500000
83,3,1980,2,5,43500000
64,3,1979,1,5,23350000
33,1,1978,4,4,10400000
40,1,1980,9,9,13000000
33,1,1984,1,5,13000000
73,3,1983,4,5,26000000
57,2,2001,5,10,22300000
40,2,1963,3,4,13350000
71,3,1995,5,9,30000000
45,1,1989,8,9,12300000
50,2,1979,4,5,20300000
58,2,1989,1,5,19000000
50,2,1983,4,5,19500000
75,3,1984,3,6,26000000
50,2,1963,2,3,14800000
45,2,1963,2,4,17000000
61,3,1968,4,4,17700000
41,1,1979,7,9,16300000
65,2,1985,6,18,23300000
70,4,2014,1,1,32000000
52,2,1981,4,5,18300000
53,2,1985,2,9,19000000
45,2,1966,4,4,13350000
64,3,1980,5,5,19500000
53,2,1982,7,9,17500000
75,3,1994,3,9,19500000
76,2,1978,5,7,29700000
59,2,1996,8,9,20000000
43,2,1965,1,4,14650000
45,2,1962,4,4,13400000
65,2,1968,2,4,26500000
98,2,2012,14,15,30000000
69,3,1962,1,4,29000000
62,2,1987,2,5,20800000
53,2,2015,10,18,19850000
45,2,1981,5,5,14000000
105,3,1984,9,10,42000000
43,2,1974,5,5,12500000
75,3,1987,5,9,28000000
67,3,1979,5,5,23000000
72,3,1977,2,5,30500000
52,2,1985,6,9,18800000
51,2,1982,4,5,20000000
43,2,1975,4,4,14350000
60,2,1985,8,9,21500000
43,2,1975,4,4,14350000
74,3,1985,4,5,30200000
65,3,1999,4,6,22960000
53,2,1989,1,5,20500000
50,2,1979,4,5,20000000
60,2,1985,8,9,21500000
54,2,1985,3,9,17500000
72,3,1980,8,9,23000000
59,3,1980,5,5,16300000
53,2,1982,7,9,17500000
73,3,1966,4,4,25000000
53,2,1981,4,5,18500000
50,2,1980,5,5,23500000
126,3,2012,7,18,42000000
70,3,1985,9,9,20900000
65,3,1978,2,5,20000000
101,3,2005,3,7,39000000
53,2,1985,2,9,19000000
136,3,2004,8,20,38500000
63,3,1980,3,5,20000000
336,6,2008,2,18,105000000
57,2,2001,5,10,22300000
