size,room,year,floor,top_floor,price
45,2,1973,4,4,16900000
71,3,1960,3,4,25000000
102,3,2009,6,7,47000000
75,2,1980,2,5,35000000
71,2,2006,10,12,32100000
40,2,1960,4,4,15000000
220,5,2015,5,12,155000000
59,3,1980,4,5,20500000
41,1,1987,6,9,12500000
113,3,2009,9,10,45000000
62,3,1980,1,5,21000000
60,3,1967,1,5,19500000
60,2,2012,3,18,22800000
80,3,1979,2,5,30000000
57,3,1953,1,2,12800000
38,2,1984,4,5,6800000
41,1,1987,1,9,14000000
156,4,2008,3,18,85000000
40,1,1981,9,9,11300000
31,1,1978,1,5,9500000
151,3,2011,2,9,41500000
38,1,1978,4,5,17000000
151,3,2011,2,9,43000000
90,4,1985,4,9,40000000
30,1,1965,4,5,11000000
128,3,2013,2,9,50000000
70,3,1993,4,9,30000000
43,2,1969,2,4,13800000
65,3,1986,8,9,23500000
61,3,1977,4,5,20300000
336,1,2007,2,18,105000000
36,1,1987,4,5,12000000
33,1,1978,1,5,10500000
16,1,1977,1,4,3999999
47,2,1997,2,4,17990000
33,1,1959,3,3,15000000
113,3,2010,8,9,29000000
87,3,2007,15,18,26800000
49,2,1978,5,5,16000000
42,2,1979,2,5,15000000
33,1,1963,4,4,11500000
50,1,2011,6,9,15100000
52,2,1985,8,9,19000000
53,2,1983,2,5,16000000
53,2,1990,2,5,16355000
86,2,2013,8,15,27500000
60,2,1989,6,9,17500000
57,2,1986,3,9,21000000
56,3,1981,1,5,13800000
60,2,1987,6,9,17500000
56,2,1977,4,7,18000000
60,2,1980,7,9,18000000
40,1,1980,9,9,13000000
124,4,2003,6,7,48000000
70,3,1986,8,9,21500000
62,2,1987,2,5,20500000
60,2,1989,6,9,17500000
60,2,1987,6,9,17500000
70,3,1990,8,9,23000000
60,2,1980,7,9,18000000
88,3,2008,6,9,25300000
58,3,1974,3,5,19680000
27,1,1974,2,4,13400000
97,4,1990,3,8,43000000
66,3,1977,9,9,26300000
66,3,1977,9,9,26400000
44,2,1985,5,5,14000000
85,2,2015,10,15,22500000
122,3,2011,9,17,53800000
64,3,1988,4,5,27300000
82,2,2006,2,6,50000000
60,2,1985,8,9,22000000
60,3,1969,2,4,20000000
64,2,1971,2,5,38000000
51,2,1992,2,5,26000000
53,2,1980,4,5,18000000
58,3,1965,4,4,26400000
53,1,2015,4,15,14000000
43,1,2017,10,10,14000000
110,2,2009,4,10,47000000
41,1,1985,8,9,14600000
60,3,1964,4,4,15500000
60,3,1964,4,4,15500000
63,3,1962,3,4,18500000
58,3,1968,1,4,15500000
50,2,1970,2,3,23000000
155,4,2007,10,12,70000000
140,4,2004,14,21,125000000
34,1,1978,3,5,8300000
60,3,1960,2,5,20000000
52,2,1980,3,7,15000000
52,2,1982,3,5,16500000
46,2,1968,4,4,12000000
45,2,1963,1,4,14000000
32,1,1979,1,5,10500000
21,1,1979,4,5,6000000
82,2,2006,2,6,50000000
30,1,1962,2,4,11000000
36,1,1980,6,9,12000000
40,1,1962,3,4,14500000
40,1,2014,7,10,17500000
60,2,2015,3,9,25000000
42,2,1979,2,5,13300000
82,3,2018,9,10,32000000
40,1,1990,8,9,14500000
45,2,1969,4,4,15000000
57,2,1991,5,5,22000000
57,2,1991,5,5,22000000
75,3,1980,4,5,18500000
70,3,1990,4,5,20300000
